transaction_id,client_id,description,amount,date,transaction_type,category
TXN776647,C0280,amazon pay,36828.83,23-11-2025,Debit,Shopping
TXN588509,C0102,mall purchase 28757,25277.66,28-01-2024,Debit,Shopping
TXN732053,C0217,investment txn,37945.19,12-06-2024,Debit,Investment
TXN101415,C0184,HOTSTAR,5128.47,24-01-2025,debit,Entertainment
TXN082628,C0283,gaming purchase 60317,6258.81,22-01-2025,DR,Entertainment
TXN238969,C0149,monthly salary,31006,08-11-2025,Credit,Salary
TXN170556,C0190,FLIPKART*,31791.51,08-01-2025,debit,Shopping
TXN665823,C0088,spotify,32408.81,15-09-2025,DR,Entertainment
TXN717871,C0167,SIP DEBIT,34414.33,12-08-2024,DR,Investment
TXN957493,C0291,zomato payment,13401.69,04-08-2024,debit,Food
TXN146414,C0127,spotify,22953.42,28-09-2024,DR,Entertainment
TXN145052,C0261,stock purchase,19982.04,12-08-2024,DR,Investment
TXN442667,C0033,makemytrip,31379.75,27-11-2025,Debit,Travel
TXN713329,C0059,lab test,48554.5,12-01-2024,debit,Healthcare
TXN003403,C0135,stock purchase,21749.57,09-04-2025,debit,Investment
TXN638552,C0102,SIP debit 82059,42086.63,03-06-2025,debit,Investment
TXN339903,C0251,RAPIDO,45926.3,05-09-2025,DR,Transport
TXN920660,C0291,SWIGGY ORD,11987.83,03-09-2024,debit,Food
TXN691799,C0244,amazon pay,38296.4,11-05-2024,DR,Shopping
TXN791953,C0103,SIP debit,48218.86,06-07-2025,debit,Investment
TXN473418,C0062,payroll transfer,82422,13-06-2025,Credit,Salary
TXN074442,C0031,WATER-PAY 72703,29430.24,08-01-2024,Debit,Bills
TXN701475,C0249,electricity bill,25717.52,12-10-2024,Debit,Bills
TXN822734,C0243,MOBILE RECHARGE,28819.06,05-09-2024,DR,Bills
TXN905799,C0028,MEDPLUS,21190.46,23-04-2025,debit,Healthcare
TXN562337,C0230,amazon pay,12447.84,13-07-2024,Debit,Shopping
TXN102665,C0026,FUEL STATION,22167.67,17-07-2025,Debit,Transport
TXN504741,C0110,mutual fund,8332.23,12-05-2025,Debit,Investment
TXN299106,C0217,APOLLO PHARMACY 51273,46327.37,10-04-2025,debit,Healthcare
TXN063919,C0161,INVESTMENT TXN,28967.43,09-07-2025,Debit,Investment
TXN084003,C0096,SWIGGY ORD,7888.49,04-06-2025,DR,Food
TXN258176,C0297,MALL PURCHASE,6011.93,06-08-2025,debit,Shopping
TXN980111,C0134,insurance premium,28270.04,19-11-2024,DR,Insurance
TXN331536,C0038,gas bill,32282.13,13-04-2025,DR,Bills
TXN530459,C0136,hotel bill,3681.57,06-08-2024,Debit,Food
TXN874245,C0279,RAPIDO,14263.67,24-03-2025,debit,Transport
TXN984540,C0069,salary credit,111951,16-04-2024,Credit,Salary
TXN295443,C0108,salary credit,45374,05-10-2024,Credit,Salary
TXN096782,C0217,spotify,24436.82,22-02-2024,DR,Entertainment
TXN169431,C0227,SALARY CREDIT,108507,25-09-2024,Credit,Salary
TXN610806,C0283,investment txn 90673,27288.6,13-01-2025,Debit,Investment
TXN715199,C0128,FUEL STATION,44948.25,03-08-2024,Debit,Transport
TXN970734,C0122,myntra order,48692.37,07-06-2024,debit,Shopping
TXN841205,C0128,ola ride 96642,39123.68,25-02-2025,debit,Transport
TXN209268,C0236,SAL CR 5175,86694,15-08-2024,Credit,Salary
TXN417822,C0169,hotstar,1202.75,16-07-2024,Debit,Entertainment
TXN419094,C0275,salary credit,109080,05-06-2025,Credit,Salary
TXN040116,C0056,NETFLIX,29037.87,28-09-2024,Debit,Entertainment
TXN121264,C0198,policy payment,30318.32,07-06-2025,debit,Insurance
